id,Number
1,26
2,27
3,67
4,99
5,54
6,60
7,42
8,76
9,1
10,2
11,73
12,3
13,89
14,59
15,98
16,90
17,61
18,62
19,11
20,32
21,30
22,88
23,70
24,55
25,11
26,41
27,4
28,33
29,89
30,97
31,60
32,65
33,55
34,14
35,34
36,21
37,51
38,48
39,44
40,50
41,16
42,2
43,33
44,94
45,15
46,80
47,79
48,71
49,25
50,56
51,26
52,35
53,25
54,60
55,63
56,42
57,37
58,50
59,85
60,87
61,11
62,25
63,100
64,63
65,64
66,16
67,24
68,13
69,36
70,74
71,69
72,85
73,69
74,52
75,97
76,61
77,71
78,21
79,47
80,31
81,48
82,60
83,75
84,57
85,48
86,34
87,68
88,75
89,54
90,63
91,34
92,81
93,60
94,61
95,60
96,36
97,9
98,25
99,46
100,32
101,53
102,47
103,94
104,75
105,5
106,24
107,41
108,44
109,85
110,6
111,36
112,30
113,46
114,75
115,53
116,68
117,19
118,39
119,50
120,3
121,52
122,25
123,53
124,34
125,21
126,18
127,46
128,18
129,43
130,16
131,90
132,100
133,53
134,38
135,50
136,56
137,18
138,62
139,82
140,29
141,75
142,6
143,72
144,3
145,82
146,39
147,40
148,69
149,62
150,92
151,61
152,77
153,49
154,67
155,73
156,52
157,15
158,38
159,91
160,33
161,85
162,65
163,92
164,96
165,57
166,12
167,93
168,68
169,16
170,87
171,99
172,52
173,67
174,65
175,13
176,59
177,35
178,11
179,85
180,98
181,17
182,90
183,74
184,64
185,20
186,39
187,60
188,12
189,52
190,46
191,40
192,93
193,16
194,81
195,63
196,34
197,6
198,10
199,27
200,61
201,68
202,74
203,69
204,47
205,57
206,19
207,56
208,17
209,44
210,41
211,21
212,83
213,45
214,60
215,1
216,25
217,92
218,11
219,66
220,19
221,57
222,30
223,27
224,59
225,7
226,19
227,24
228,39
229,74
230,41
231,42
232,92
233,48
234,8
235,46
236,21
237,79
238,85
239,69
240,19
241,39
242,5
243,21
244,76
245,72
246,9
247,69
248,79
249,44
250,77
251,12
252,46
253,67
254,52
255,85
256,11
257,76
258,70
259,59
260,58
261,31
262,30
263,86
264,43
265,66
266,73
267,93
268,7
269,59
270,76
271,24
272,49
273,48
274,49
275,75
276,68
277,30
278,18
279,77
280,37
281,45
282,79
283,26
284,84
285,52
286,65
287,80
288,54
289,95
290,5
291,15
292,69
293,47
294,98
295,58
296,38
297,59
298,51
299,34
300,75
301,85
302,47
303,86
304,15
305,37
306,57
307,40
308,80
309,21
310,9
311,42
312,90
313,87
314,23
315,92
316,82
317,88
318,42
319,67
320,25
321,78
322,64
323,33
324,31
325,10
326,92
327,7
328,31
329,55
330,43
331,41
332,4
333,97
334,24
335,29
336,52
337,6
338,23
339,95
340,28
341,69
342,92
343,68
344,92
345,42
346,38
347,100
348,76
349,71
350,82
351,63
352,11
353,89
354,43
355,31
356,48
357,74
358,73
359,78
360,73
361,95
362,53
363,48
364,97
365,14
366,22
367,30
368,85
369,77
370,89
371,84
372,23
373,73
374,35
375,69
376,97
377,64
378,24
379,36
380,84
381,58
382,80
383,100
384,16
385,86
386,52
387,72
388,4
389,46
390,38
391,80
392,46
393,54
394,38
395,23
396,9
397,44
398,37
399,5
400,79
401,79
402,11
403,37
404,34
405,67
406,2
407,14
408,74
409,34
410,28
411,26
412,7
413,9
414,32
415,69
416,44
417,5
418,59
419,48
420,62
421,75
422,98
423,89
424,60
425,44
426,82
427,83
428,51
429,11
430,54
431,17
432,84
433,59
434,48
435,54
436,38
437,3
438,74
439,64
440,20
441,36
442,67
443,82
444,27
445,73
446,78
447,9
448,66
449,96
450,1
451,74
452,48
453,88
454,17
455,65
456,25
457,71
458,23
459,15
460,21
461,98
462,82
463,28
464,11
465,10
466,51
467,53
468,68
469,37
470,20
471,56
472,74
473,49
474,67
475,96
476,6
477,46
478,42
479,7
480,15
481,18
482,81
483,66
484,63
485,40
486,27
487,80
488,16
489,97
490,86
491,91
492,33
493,85
494,44
495,77
496,72
497,48
498,35
499,84
500,25
501,82
502,2
503,45
504,19
505,84
506,40
507,50
508,13
509,84
510,41
511,97
512,69
513,60
514,30
515,63
516,65
517,49
518,77
519,20
520,51
521,47
522,12
523,70
524,60
525,8
526,58
527,83
528,64
529,17
530,31
531,70
532,93
533,70
534,79
535,22
536,20
537,10
538,50
539,7
540,86
541,78
542,62
543,90
544,31
545,31
546,22
547,16
548,50
549,47
550,46
551,42
552,50
553,53
554,10
555,53
556,39
557,91
558,44
559,98
560,70
561,62
562,32
563,12
564,22
565,50
566,32
567,60
568,93
569,60
570,68
571,90
572,69
573,29
574,32
575,91
576,88
577,48
578,6
579,34
580,46
581,41
582,54
583,42
584,80
585,2
586,29
587,56
588,28
589,57
590,40
591,91
592,52
593,65
594,58
595,19
596,72
597,25
598,72
599,64
600,80
601,58
602,7
603,44
604,62
605,1
606,50
607,47
608,94
609,19
610,46
611,41
612,3
613,75
614,5
615,3
616,19
617,56
618,6
619,1
620,72
621,9
622,51
623,72
624,33
625,74
626,20
627,56
628,2
629,81
630,50
631,21
632,46
633,62
634,75
635,79
636,22
637,49
638,61
639,44
640,88
641,51
642,59
643,60
644,57
645,45
646,16
647,36
648,8
649,70
650,20
651,94
652,76
653,40
654,68
655,20
656,60
657,82
658,70
659,23
660,89
661,9
662,21
663,2
664,79
665,12
666,39
667,34
668,54
669,60
670,43
671,20
672,86
673,75
674,4
675,37
676,98
677,68
678,96
679,6
680,7
681,64
682,54
683,4
684,68
685,28
686,59
687,74
688,59
689,33
690,82
691,80
692,28
693,77
694,45
695,78
696,46
697,29
698,96
699,14
700,67
701,45
702,12
703,49
704,27
705,93
706,92
707,33
708,56
709,42
710,57
711,25
712,22
713,6
714,45
715,51
716,48
717,82
718,38
719,38
720,32
721,95
722,86
723,72
724,95
725,34
726,29
727,2
728,82
729,22
730,59
731,19
732,82
733,74
734,5
735,100
736,3
737,63
738,67
739,51
740,43
741,36
742,29
743,21
744,42
745,31
746,11
747,9
748,58
749,38
750,90
751,20
752,56
753,22
754,90
755,15
756,41
757,46
758,72
759,57
760,51
761,31
762,90
763,60
764,99
765,10
766,67
767,23
768,54
769,94
770,24
771,57
772,50
773,98
774,48
775,14
776,90
777,84
778,88
779,36
780,61
781,55
782,19
783,11
784,10
785,44
786,14
787,73
788,65
789,14
790,78
791,44
792,59
793,79
794,1
795,76
796,38
797,25
798,38
799,22
800,51
801,64
802,31
803,4
804,28
805,95
806,8
807,30
808,29
809,55
810,80
811,70
812,73
813,59
814,15
815,41
816,26
817,100
818,23
819,23
820,67
821,54
822,43
823,65
824,57
825,93
826,88
827,17
828,64
829,21
830,1
831,23
832,56
833,43
834,68
835,3
836,62
837,14
838,41
839,36
840,37
841,81
842,70
843,79
844,14
845,79
846,95
847,56
848,33
849,57
850,39
851,10
852,70
853,4
854,89
855,65
856,14
857,6
858,12
859,44
860,87
861,16
862,57
863,50
864,71
865,78
866,93
867,12
868,51
869,98
870,68
871,65
872,28
873,71
874,22
875,66
876,45
877,37
878,28
879,94
880,97
881,97
882,48
883,56
884,78
885,98
886,87
887,47
888,5
889,62
890,48
891,85
892,96
893,70
894,38
895,47
896,59
897,66
898,26
899,100
900,13
901,45
902,89
903,79
904,16
905,7
906,75
907,81
908,85
909,47
910,81
911,57
912,33
913,55
914,8
915,90
916,71
917,100
918,61
919,9
920,9
921,64
922,85
923,9
924,20
925,78
926,16
927,96
928,92
929,72
930,31
931,66
932,58
933,46
934,44
935,84
936,20
937,26
938,13
939,71
940,97
941,43
942,53
943,36
944,18
945,7
946,25
947,51
948,10
949,14
950,45
951,56
952,10
953,21
954,68
955,36
956,63
957,13
958,17
959,29
960,19
961,62
962,3
963,13
964,22
965,65
966,63
967,26
968,95
969,16
970,28
971,97
972,10
973,59
974,33
975,55
976,41
977,90
978,74
979,86
980,35
981,66
982,59
983,75
984,4
985,5
986,95
987,1
988,10
989,78
990,57
991,100
992,39
993,84
994,37
995,36
996,84
997,4
998,76
999,41
1000,43
